step_id,type,title,description,classification
2,ACTION,Update Operating Systems and Software,"Ensure all operating systems and software are up to date. Regularly check for software updates and end of life (EOL) notifications, and prioritize patching known exploited vulnerabilities.",Update
3,ACTION,Patch Cloud Environments,"Ensure that virtual machines, serverless applications, and third-party libraries in cloud environments are patched regularly.",Update
4,ACTION,Automate Security Scanning and Testing,Automate software security scanning and testing when possible to identify vulnerabilities early.,"Scan, Start"
6,ACTION,Secure and Monitor RDP,"Secure and monitor RDP and other potentially risky services. Limit access to resources over internal networks, especially by restricting RDP and using virtual desktop infrastructure.","Deny, Contain, Scan"
7,ACTION,Restrict RDP Sources and Require MFA,"If RDP is necessary, restrict the originating sources and require MFA to mitigate credential theft and reuse.","Deny, Contain"
8,ACTION,Use VPN for External RDP,"If RDP must be available externally, use a VPN, virtual desktop infrastructure, or other means to authenticate and secure the connection before allowing RDP to connect to internal devices.","Allow, Contain"
9,ACTION,Monitor and Log RDP Access,"Monitor remote access/RDP logs, enforce account lockouts after a specified number of attempts, log RDP login attempts, and disable unused remote access/RDP ports.","Scan, Deny, Contain"
10,ACTION,Configure Devices and Disable Unused Ports,Ensure devices are properly configured and that security features are enabled. Disable ports and protocols that are not being used for a business purpose.,"Deny, Update"
11,ACTION,Restrict SMB Protocol,Restrict Server Message Block (SMB) Protocol within the network to only access necessary servers and remove or disable outdated versions of SMB.,"Deny, Update"
13,ACTION,Implement Application Whitelisting,Implement listing policies for applications and remote access that only allow systems to execute known and permitted programs.,"Allow, Contain"
14,ACTION,Open Document Readers in Protected Mode,Open document readers in protected viewing modes to help prevent active content from running.,"Detonate, Contain"
15,ACTION,Segment Networks,Segment networks to control traffic flows and restrict adversary lateral movement.,"Contain, Deny"
16,ACTION,Implement End-to-End Encryption,Deploy mutual Transport Layer Security (mTLS) to prevent eavesdropping on communications.,"Allow, Update"
17,ACTION,Monitor Network for Abnormal Activity,"Identify, detect, and investigate abnormal activity and potential traversal of ransomware with a network-monitoring tool.","Scan, Query"
19,ACTION,Implement Time-Based Access for Privileged Accounts,Use just-in-time access methods to provision privileged access when needed and enforce the principle of least privilege.,"Allow, Contain"
20,ACTION,Enforce Principle of Least Privilege,Minimize unnecessary privileges for identities and regularly audit account privileges against usage patterns.,"Allow, Contain, Query"
21,ACTION,Reduce Credential Exposure,Enforce credential protection by restricting where accounts and credentials can be used and using local device credential protection features.,"Contain, Deny"
22,ACTION,Disable Unneeded Command-Line Utilities,"Disable unneeded command-line utilities, constrain scripting activities and permissions, and monitor their usage.","Stop, Contain"
23,ACTION,Maintain Offline Backups,Maintain offline backups of data and regularly test backup and restoration processes.,"Allow, Start"
24,ACTION,Encrypt and Secure Cloud Backups,"Ensure all backup data is encrypted, immutable, and covers the entire organization’s data infrastructure. Consider storing encryption keys outside the cloud.","Allow, Update"
25,ACTION,Collect Telemetry from Cloud Environments,Ensure that telemetry from cloud environments is retained and visible to the security team.,"Query, Locate"
27,ACTION,Enable Multifactor Authentication (MFA),Enable MFA for all users without exception to enhance security.,"Allow, Update"
28,ACTION,Reduce Lifetime of Authentication Assertions,Reduce the lifetime of authentication assertions to enforce MFA re-validation.,"Update, Contain"
29,ACTION,Implement Group Managed Service Accounts (gMSA),Use gMSA for service accounts to automate complex password management.,"Allow, Update"
30,ACTION,"Enforce Strong, Unique Passwords","Require accounts to have strong, unique passwords and avoid reuse across multiple accounts.","Update, Allow"
31,ACTION,Enable Password Management Functions,Enable functions like Local Administrator Password Solution (LAPS) for local administrative accounts.,"Allow, Update"
32,ACTION,Implement Time-out and Lock-out Features,Configure time-out and lock-out features for repeated failed login attempts.,"Deny, Contain"
33,ACTION,Configure Time-based Access for Admin Accounts,Use Just-In-Time (JIT) access method for privileged accounts to enforce least privilege.,"Allow, Contain"
34,ACTION,Create Centralized Log Management System,Establish a centralized log management system to monitor network activity.,"Start, Query"
35,ACTION,Forward Logs to SIEM Tool,Forward all logs to a SIEM tool and ensure they are searchable.,"Allow, Query"
36,ACTION,Retain Network Activity Logs,Retain critical and historic network activity logs for a minimum of 180 days.,"Allow, Query"
37,ACTION,Enable Unified Audit Log (UAL) in M365,Enable UAL in M365 to log events from various services.,"Start, Query"
38,ACTION,Ensure PowerShell Logging is Enabled,Turn on PowerShell logging and update to version 5.0 or later.,"Update, Start"
39,ACTION,Monitor Remote Access/RDP Logs,Monitor remote access/RDP logs and disable unused ports.,"Scan, Deny"
40,ACTION,Correlate Logs from Network and Host Security Devices,Correlate logs from network and host security devices to detect anomalies.,"Query, Scan"
41,ACTION,Implement Centralized Patch Management System,Consider using a centralized patch management system for timely software updates.,"Update, Start"
45,ACTION,Regularly Update VPNs and Network Devices,Update VPNs and network devices with the latest patches and configurations.,Update
46,ACTION,Monitor Network Traffic for Unapproved Protocols,Monitor network traffic for unapproved and unexpected protocols.,"Scan, Query"
47,ACTION,Install Antivirus Applications,Ensure antivirus applications are installed on all computers and configured to prevent malware.,"Allow, Start"
48,ACTION,Keep Virus Definitions Up to Date,Regularly update virus definitions and monitor antivirus scans.,"Update, Scan"
49,ACTION,Utilize Endpoint Detection and Response (EDR) Tools,Use EDR tools for visibility into endpoint security and to detect lateral movement.,"Allow, Scan"
51,ACTION,Apply Principle of Least Privilege,Ensure administrator accounts have minimum permissions needed for tasks.,"Allow, Contain"
52,ACTION,Assign Administrator Roles to RBAC in M365,Use RBAC to implement least privilege in M365 and limit Global Administrator use.,"Allow, Update"
53,ACTION,Remove Unnecessary Privileges,Remove privileges not required by an account’s function or role.,"Delete, Deny"
54,ACTION,Create Non-Privileged Accounts for Privileged Users,Ensure privileged users have non-privileged accounts for non-privileged access.,"Allow, Update"
55,ACTION,Regularly Audit Administrative User Accounts,Audit administrative user accounts and logs to ensure legitimacy and detect anomalies.,"Query, Scan"
58,ACTION,Monitor Service Provider Activities,Monitor service provider activities and connections to the customer network.,"Scan, Query"
59,ACTION,Update Remote Work Environment Devices,Regularly update VPNs and devices used for remote work with the latest patches.,Update
60,ACTION,Require MFA on VPN Connections,Require MFA on all VPN connections to enhance security.,"Allow, Update"
61,ACTION,Monitor Remote Network Traffic,Monitor remote network traffic for unapproved protocols and reduce attack surfaces.,"Scan, Deny"
65,ACTION,Deny Atypical Inbound Activity from Anonymization Services,Block inbound activity from known anonymization services like VPNs and TOR.,Deny
66,ACTION,Impose Application Whitelisting Policies,Allow only known and permitted programs to execute under an established security policy.,"Allow, Contain"
68,ACTION,Implement Network Segmentation,Segment the network to limit the spread of potential threats.,Contain
70,ACTION,Deploy Application Control Software,Deploy application control software to limit the applications and executable code that can be run by users.,"Allow, Contain"
71,ACTION,Restrict Email Attachments and Downloads,Limit email attachments and files downloaded via links in emails to prevent executable code from running.,"Contain, Deny"
72,ACTION,Enable Antivirus and Anti-malware Software,Enable antivirus and anti-malware software and update signature definitions in a timely manner to prevent use of commonly deployed attacker tools.,"Start, Update"
73,ACTION,Implement Multifactor Authentication,"Use multifactor authentication where possible, particularly for webmail, virtual private networks, and accounts that access critical systems.","Allow, Update"
74,ACTION,Limit Administrator Privileges,Limit the use of administrator privileges to reduce the risk of lateral movement and access to sensitive information.,"Contain, Deny"
76,ACTION,Adopt Threat Reputation Services,"Adopt threat reputation services at the network device, operating system, application, and email service levels to detect or prevent low-reputation email addresses, files, URLs, and IP addresses used in spearphishing attacks.","Allow, Scan, Deny"
77,ACTION,Install Updates and Patches,"Install updates/patch operating systems, software, and firmware as soon as updates/patches are released. Prioritize patching known exploited vulnerabilities.",Update
80,ACTION,Implement Network Segmentation and Access Control,Ensure network segmentation and configure network-based ACLs to permit connectivity via the minimum scope of ports and protocols.,"Allow, Contain"
81,ACTION,Enforce Multifactor Authentication and Least Privilege,Require multifactor authentication for interactive logons and ensure least privilege for enterprise systems.,"Allow, Deny"
82,ACTION,Audit and Review Security Logs,Audit and review security logs for anomalous references to administrative and service accounts.,"Query, Scan"
83,ACTION,Stage and Monitor Patch and AV Signature Distribution,Stage patch and AV signature distribution to minimize impact and monitor integrity of updates.,"Start, Update, Scan"
86,ACTION,Containment Strategies for Destructive Malware,"Implement containment strategies to reduce the scope of affected systems, such as isolating systems and disabling access for suspected accounts.","Contain, Deny"
88,ACTION,Enforce Multi-Factor Authentication (MFA),"Enforce MFA for all users, without exception. Review configuration policies to protect against 'fail open' and re-enrollment scenarios.","Allow, Update"
89,ACTION,Implement Account Security Measures,Implement time-out and lock-out features for repeated failed login attempts. Ensure inactive accounts are disabled uniformly across systems.,"Allow, Contain"
90,ACTION,Update Software and Patch Vulnerabilities,"Update software, including operating systems, applications, and firmware. Prioritize patching known exploited vulnerabilities, especially critical and high vulnerabilities.",Update
91,ACTION,Enforce Strong Password Policies,"Require all accounts with password logins to have strong, unique passwords. Ensure passwords are not reused across multiple accounts or stored insecurely.","Update, Allow"
92,ACTION,Monitor Network Logs,Continuously monitor network logs for suspicious activity and unauthorized or unusual login attempts.,"Scan, Query"
93,ACTION,Implement Security Alerting Policies,Implement security alerting policies for changes to security-enabled accounts/groups and alert on suspicious process creation events.,"Start, Query"
94,ACTION,Deploy Local Administrator Password Solution (LAPS),"Deploy LAPS, enforce SMB Signing, restrict administrative privileges, and review sensitive materials on domain controller’s SYSVOL share.","Allow, Update"
95,ACTION,Enable Increased Logging and EDR,"Enable increased logging policies, enforce PowerShell logging, and ensure antivirus/EDR are deployed to all endpoints and enabled.","Start, Update"
96,ACTION,Monitor Remote Access Logs,Monitor remote access/RDP logs and disable unused remote access/RDP ports.,"Scan, Deny"
