step_id,type,title,description,playbook
1,ACTION,"Implement CISA, FBI, and NSA Recommendations","Follow the recommendations provided by CISA, FBI, and NSA to enhance cyber resilience against the threat.",CISA_aa22-011a_playbook-aa22-011a.json
2,ACTION,Update Operating Systems and Software,"Ensure all operating systems and software are up to date. Regularly check for software updates and end of life (EOL) notifications, and prioritize patching known exploited vulnerabilities.",CISA_aa22-040a_playbook-aa22-040a.json
3,ACTION,Patch Cloud Environments,"Ensure that virtual machines, serverless applications, and third-party libraries in cloud environments are patched regularly.",CISA_aa22-040a_playbook-aa22-040a.json
4,ACTION,Automate Security Scanning and Testing,Automate software security scanning and testing when possible to identify vulnerabilities early.,CISA_aa22-040a_playbook-aa22-040a.json
5,ACTION,Upgrade Hardware and Software,Consider upgrading hardware and software to take advantage of vendor-provided virtualization and security capabilities.,CISA_aa22-040a_playbook-aa22-040a.json
6,ACTION,Secure and Monitor RDP,"Secure and monitor RDP and other potentially risky services. Limit access to resources over internal networks, especially by restricting RDP and using virtual desktop infrastructure.",CISA_aa22-040a_playbook-aa22-040a.json
7,ACTION,Restrict RDP Sources and Require MFA,"If RDP is necessary, restrict the originating sources and require MFA to mitigate credential theft and reuse.",CISA_aa22-040a_playbook-aa22-040a.json
8,ACTION,Use VPN for External RDP,"If RDP must be available externally, use a VPN, virtual desktop infrastructure, or other means to authenticate and secure the connection before allowing RDP to connect to internal devices.",CISA_aa22-040a_playbook-aa22-040a.json
9,ACTION,Monitor and Log RDP Access,"Monitor remote access/RDP logs, enforce account lockouts after a specified number of attempts, log RDP login attempts, and disable unused remote access/RDP ports.",CISA_aa22-040a_playbook-aa22-040a.json
10,ACTION,Configure Devices and Disable Unused Ports,Ensure devices are properly configured and that security features are enabled. Disable ports and protocols that are not being used for a business purpose.,CISA_aa22-040a_playbook-aa22-040a.json
11,ACTION,Restrict SMB Protocol,Restrict Server Message Block (SMB) Protocol within the network to only access necessary servers and remove or disable outdated versions of SMB.,CISA_aa22-040a_playbook-aa22-040a.json
12,ACTION,Review Third-Party Vendor Security,Review the security posture of third-party vendors and ensure all connections are monitored and reviewed for suspicious activity.,CISA_aa22-040a_playbook-aa22-040a.json
13,ACTION,Implement Application Whitelisting,Implement listing policies for applications and remote access that only allow systems to execute known and permitted programs.,CISA_aa22-040a_playbook-aa22-040a.json
14,ACTION,Open Document Readers in Protected Mode,Open document readers in protected viewing modes to help prevent active content from running.,CISA_aa22-040a_playbook-aa22-040a.json
15,ACTION,Segment Networks,Segment networks to control traffic flows and restrict adversary lateral movement.,CISA_aa22-040a_playbook-aa22-040a.json
16,ACTION,Implement End-to-End Encryption,Deploy mutual Transport Layer Security (mTLS) to prevent eavesdropping on communications.,CISA_aa22-040a_playbook-aa22-040a.json
17,ACTION,Monitor Network for Abnormal Activity,"Identify, detect, and investigate abnormal activity and potential traversal of ransomware with a network-monitoring tool.",CISA_aa22-040a_playbook-aa22-040a.json
18,ACTION,Document External Remote Connections,Document approved solutions for remote management and maintenance and investigate unapproved solutions immediately.,CISA_aa22-040a_playbook-aa22-040a.json
19,ACTION,Implement Time-Based Access for Privileged Accounts,Use just-in-time access methods to provision privileged access when needed and enforce the principle of least privilege.,CISA_aa22-040a_playbook-aa22-040a.json
20,ACTION,Enforce Principle of Least Privilege,Minimize unnecessary privileges for identities and regularly audit account privileges against usage patterns.,CISA_aa22-040a_playbook-aa22-040a.json
