step_id,type,title,description,classification
2,ACTION,Update Operating Systems and Software,"Ensure all operating systems and software are up to date. Regularly check for software updates and end of life (EOL) notifications, and prioritize patching known exploited vulnerabilities.",Service Task
3,ACTION,Patch Cloud Environments,"Ensure that virtual machines, serverless applications, and third-party libraries in cloud environments are patched regularly.",Service Task
4,ACTION,Automate Security Scanning and Testing,Automate software security scanning and testing when possible to identify vulnerabilities early.,Service Task
6,ACTION,Secure and Monitor RDP,"Secure and monitor RDP and other potentially risky services. Limit access to resources over internal networks, especially by restricting RDP and using virtual desktop infrastructure.",Service Task
7,ACTION,Restrict RDP Sources and Require MFA,"If RDP is necessary, restrict the originating sources and require MFA to mitigate credential theft and reuse.",Service Task
8,ACTION,Use VPN for External RDP,"If RDP must be available externally, use a VPN, virtual desktop infrastructure, or other means to authenticate and secure the connection before allowing RDP to connect to internal devices.",Service Task
9,ACTION,Monitor and Log RDP Access,"Monitor remote access/RDP logs, enforce account lockouts after a specified number of attempts, log RDP login attempts, and disable unused remote access/RDP ports.",Service Task
10,ACTION,Configure Devices and Disable Unused Ports,Ensure devices are properly configured and that security features are enabled. Disable ports and protocols that are not being used for a business purpose.,Service Task
11,ACTION,Restrict SMB Protocol,Restrict Server Message Block (SMB) Protocol within the network to only access necessary servers and remove or disable outdated versions of SMB.,Service Task
13,ACTION,Implement Application Whitelisting,Implement listing policies for applications and remote access that only allow systems to execute known and permitted programs.,Service Task
14,ACTION,Open Document Readers in Protected Mode,Open document readers in protected viewing modes to help prevent active content from running.,Service Task
15,ACTION,Segment Networks,Segment networks to control traffic flows and restrict adversary lateral movement.,Service Task
16,ACTION,Implement End-to-End Encryption,Deploy mutual Transport Layer Security (mTLS) to prevent eavesdropping on communications.,Service Task
17,ACTION,Monitor Network for Abnormal Activity,"Identify, detect, and investigate abnormal activity and potential traversal of ransomware with a network-monitoring tool.",Service Task
19,ACTION,Implement Time-Based Access for Privileged Accounts,Use just-in-time access methods to provision privileged access when needed and enforce the principle of least privilege.,Service Task
20,ACTION,Enforce Principle of Least Privilege,Minimize unnecessary privileges for identities and regularly audit account privileges against usage patterns.,Service Task
21,ACTION,Reduce Credential Exposure,Enforce credential protection by restricting where accounts and credentials can be used and using local device credential protection features.,Service Task
22,ACTION,Disable Unneeded Command-Line Utilities,"Disable unneeded command-line utilities, constrain scripting activities and permissions, and monitor their usage.",Service Task
23,ACTION,Maintain Offline Backups,Maintain offline backups of data and regularly test backup and restoration processes.,Service Task
24,ACTION,Encrypt and Secure Cloud Backups,"Ensure all backup data is encrypted, immutable, and covers the entire organization’s data infrastructure. Consider storing encryption keys outside the cloud.",Service Task
25,ACTION,Collect Telemetry from Cloud Environments,Ensure that telemetry from cloud environments is retained and visible to the security team.,Service Task
27,ACTION,Enable Multifactor Authentication (MFA),Enable MFA for all users without exception to enhance security.,Service Task
28,ACTION,Reduce Lifetime of Authentication Assertions,Reduce the lifetime of authentication assertions to enforce MFA re-validation.,Service Task
29,ACTION,Implement Group Managed Service Accounts (gMSA),Use gMSA for service accounts to automate complex password management.,Service Task
30,ACTION,"Enforce Strong, Unique Passwords","Require accounts to have strong, unique passwords and avoid reuse across multiple accounts.",Service Task
31,ACTION,Enable Password Management Functions,Enable functions like Local Administrator Password Solution (LAPS) for local administrative accounts.,Service Task
32,ACTION,Implement Time-out and Lock-out Features,Configure time-out and lock-out features for repeated failed login attempts.,Service Task
33,ACTION,Configure Time-based Access for Admin Accounts,Use Just-In-Time (JIT) access method for privileged accounts to enforce least privilege.,Service Task
34,ACTION,Create Centralized Log Management System,Establish a centralized log management system to monitor network activity.,Service Task
35,ACTION,Forward Logs to SIEM Tool,Forward all logs to a SIEM tool and ensure they are searchable.,Service Task
36,ACTION,Retain Network Activity Logs,Retain critical and historic network activity logs for a minimum of 180 days.,Service Task
37,ACTION,Enable Unified Audit Log (UAL) in M365,Enable UAL in M365 to log events from various services.,Service Task
38,ACTION,Ensure PowerShell Logging is Enabled,Turn on PowerShell logging and update to version 5.0 or later.,Service Task
39,ACTION,Monitor Remote Access/RDP Logs,Monitor remote access/RDP logs and disable unused ports.,Service Task
40,ACTION,Correlate Logs from Network and Host Security Devices,Correlate logs from network and host security devices to detect anomalies.,Service Task
41,ACTION,Implement Centralized Patch Management System,Consider using a centralized patch management system for timely software updates.,Service Task
45,ACTION,Regularly Update VPNs and Network Devices,Update VPNs and network devices with the latest patches and configurations.,Service Task
46,ACTION,Monitor Network Traffic for Unapproved Protocols,Monitor network traffic for unapproved and unexpected protocols.,Service Task
47,ACTION,Install Antivirus Applications,Ensure antivirus applications are installed on all computers and configured to prevent malware.,Service Task
48,ACTION,Keep Virus Definitions Up to Date,Regularly update virus definitions and monitor antivirus scans.,Service Task
49,ACTION,Utilize Endpoint Detection and Response (EDR) Tools,Use EDR tools for visibility into endpoint security and to detect lateral movement.,Service Task
51,ACTION,Apply Principle of Least Privilege,Ensure administrator accounts have minimum permissions needed for tasks.,Service Task
52,ACTION,Assign Administrator Roles to RBAC in M365,Use RBAC to implement least privilege in M365 and limit Global Administrator use.,Service Task
53,ACTION,Remove Unnecessary Privileges,Remove privileges not required by an account’s function or role.,Service Task
54,ACTION,Create Non-Privileged Accounts for Privileged Users,Ensure privileged users have non-privileged accounts for non-privileged access.,Service Task
55,ACTION,Regularly Audit Administrative User Accounts,Audit administrative user accounts and logs to ensure legitimacy and detect anomalies.,Service Task
58,ACTION,Monitor Service Provider Activities,Monitor service provider activities and connections to the customer network.,Service Task
59,ACTION,Update Remote Work Environment Devices,Regularly update VPNs and devices used for remote work with the latest patches.,Service Task
60,ACTION,Require MFA on VPN Connections,Require MFA on all VPN connections to enhance security.,Service Task
61,ACTION,Monitor Remote Network Traffic,Monitor remote network traffic for unapproved protocols and reduce attack surfaces.,Service Task
65,ACTION,Deny Atypical Inbound Activity from Anonymization Services,Block inbound activity from known anonymization services like VPNs and TOR.,Service Task
66,ACTION,Impose Application Whitelisting Policies,Allow only known and permitted programs to execute under an established security policy.,Service Task
